,comment_score,Positive,Negative
0,-279,1.0,0.0
1,-251,0.5,0.5
2,-91,0.5833333333333334,0.9166666666666666
3,26,0.2631274131274131,0.9032818532818533
4,29,0.25514213080656345,0.9043217009475387
5,474,0.2857142857142857,0.9047619047619048
6,964,0.4,1.0
7,1677,0.0,1.0
8,1697,0.0,1.0
9,1806,0.0,1.0
10,2453,0.0,1.0
11,2509,0.0,1.0
12,65,0.2599758162031439,0.9117291414752116
13,191,0.23300970873786409,0.912621359223301
14,418,0.1,1.0
15,541,0.18181818181818182,1.0
16,558,0.21428571428571427,0.8571428571428571
17,1010,0.0,1.0
18,1224,0.0,1.0
19,1258,0.0,1.0
20,1277,0.0,1.0
21,1360,0.0,1.0
22,1840,0.0,1.0
23,2173,1.0,1.0
24,2812,1.0,1.0
25,3061,0.0,1.0
26,3280,1.0,1.0
27,3391,0.0,0.5
28,3806,0.0,1.0
29,-109,0.5,0.5
30,-58,0.3389830508474576,0.7966101694915254
31,222,0.32989690721649484,0.8865979381443299
32,270,0.2033898305084746,0.9152542372881356
33,293,0.16981132075471697,0.9245283018867925
34,730,0.75,0.75
35,938,0.0,1.0
36,1127,0.25,1.0
37,1145,0.0,1.0
38,1371,0.0,1.0
39,1551,0.0,0.0
40,1642,0.0,1.0
41,2581,0.0,0.0
42,8872,0.0,1.0
43,9632,0.0,1.0
44,243,0.2153846153846154,0.9076923076923077
45,278,0.30612244897959184,0.9183673469387755
46,367,0.10256410256410256,0.8717948717948718
47,442,0.3157894736842105,1.0
48,705,0.42857142857142855,0.8571428571428571
49,720,0.3333333333333333,1.0
50,1175,0.0,1.0
51,1202,0.3333333333333333,1.0
52,1532,0.0,1.0
53,1690,0.0,1.0
54,2371,0.0,1.0
55,2598,0.5,1.0
56,2944,0.5,0.5
57,6905,0.0,1.0
58,7303,0.0,1.0
59,-159,1.0,0.5
60,19,0.26041228439209085,0.8973496003365586
61,54,0.24824355971896955,0.8852459016393442
62,296,0.24444444444444444,0.9555555555555556
63,926,0.6666666666666666,1.0
64,965,0.25,0.75
65,1217,0.5,0.5
66,1280,0.0,1.0
67,1447,0.0,1.0
68,1671,0.5,1.0
69,1951,0.0,1.0
70,3081,0.0,1.0
71,4552,0.0,1.0
72,7233,0.0,1.0
73,-193,0.0,1.0
74,0,0.2985596113837486,0.8536716471396291
75,277,0.34782608695652173,0.8913043478260869
76,287,0.2711864406779661,0.9491525423728814
77,348,0.21875,0.9375
78,415,0.3333333333333333,1.0
79,847,0.25,1.0
80,1077,0.5,0.75
81,1336,1.0,1.0
82,1594,0.0,1.0
83,1958,1.0,1.0
84,2940,1.0,1.0
85,6361,0.0,1.0
86,502,0.3333333333333333,0.8888888888888888
87,656,0.0,1.0
88,1055,0.5,0.75
89,1480,0.0,1.0
90,1921,0.3333333333333333,1.0
91,2088,0.0,0.0
92,2244,0.0,1.0
93,2881,0.0,1.0
94,4108,0.0,1.0
95,5126,0.0,1.0
96,7234,0.0,1.0
97,-135,0.25,0.5
98,-118,0.3333333333333333,0.5833333333333334
99,-30,0.42209631728045327,0.8328611898016998
100,-3,0.3243793243793244,0.82995522995523
101,112,0.27759197324414714,0.9531772575250836
102,113,0.24567474048442905,0.9238754325259516
103,155,0.2222222222222222,0.9382716049382716
104,167,0.2,0.9172413793103448
105,299,0.3191489361702128,0.9361702127659575
106,385,0.13513513513513514,0.918918918918919
107,736,0.2,1.0
108,831,0.0,1.0
109,1042,0.0,1.0
110,1599,0.0,1.0
111,1882,0.0,1.0
112,2175,1.0,1.0
113,2364,0.0,1.0
114,2403,0.0,0.0
115,2672,1.0,1.0
116,2878,0.0,1.0
117,7139,0.0,1.0
118,-35,0.3548387096774194,0.8185483870967742
119,237,0.25333333333333335,0.9333333333333333
120,241,0.2441860465116279,0.8953488372093024
121,347,0.23076923076923078,0.9230769230769231
122,564,0.45454545454545453,1.0
123,588,0.5,0.6666666666666666
124,602,0.3333333333333333,1.0
125,857,0.5,1.0
126,1497,0.0,1.0
127,1636,1.0,0.0
128,2660,0.0,1.0
129,-141,0.14285714285714285,0.8571428571428571
130,22,0.2631428571428571,0.9038571428571428
131,198,0.26373626373626374,0.8901098901098901
132,330,0.25,0.9375
133,414,0.3448275862068966,0.9655172413793104
134,530,0.2727272727272727,1.0
135,724,0.2222222222222222,0.8888888888888888
136,1211,0.14285714285714285,1.0
137,1241,0.5,0.5
138,1338,0.0,1.0
139,1526,0.5,1.0
140,1711,1.0,0.0
141,2263,0.0,1.0
142,2317,1.0,0.0
143,2355,1.0,0.0
144,2489,0.0,1.0
145,2612,1.0,1.0
146,2681,0.0,1.0
147,2966,1.0,1.0
148,4235,0.0,1.0
149,-60,0.391304347826087,0.7971014492753623
150,130,0.24899598393574296,0.9196787148594378
151,196,0.2647058823529412,0.9411764705882353
152,427,0.25,1.0
153,486,0.3333333333333333,0.9444444444444444
154,487,0.16666666666666666,0.8888888888888888
155,823,0.0,1.0
156,932,0.0,1.0
157,1050,1.0,1.0
158,1059,0.125,1.0
159,1152,0.3333333333333333,1.0
160,1157,0.0,1.0
161,1374,0.0,1.0
162,1428,1.0,0.0
163,1972,0.0,1.0
164,2282,0.0,1.0
165,2828,0.0,1.0
166,3125,0.0,1.0
167,3821,0.0,1.0
168,7226,0.0,1.0
169,-334,1.0,0.0
170,-209,0.25,0.75
171,-25,0.3737704918032787,0.7918032786885246
172,7,0.26645065275135166,0.8954467531978223
173,77,0.26504065040650404,0.9040650406504065
174,677,0.0,1.0
175,1353,0.3333333333333333,1.0
176,1527,0.0,1.0
177,1873,0.0,1.0
178,2720,1.0,0.0
179,3243,0.0,1.0
180,5446,0.0,1.0
181,5690,0.0,1.0
182,34,0.2595108695652174,0.912703804347826
183,184,0.28695652173913044,0.8956521739130435
184,532,0.38461538461538464,0.6923076923076923
185,635,0.1111111111111111,1.0
186,858,0.16666666666666666,0.8333333333333334
187,1041,0.0,1.0
188,1427,0.0,1.0
189,1529,0.0,0.6666666666666666
190,1540,0.5,1.0
191,1687,1.0,0.0
192,1887,0.0,1.0
193,2577,1.0,1.0
194,8353,0.0,1.0
195,-190,0.6666666666666666,0.3333333333333333
196,-49,0.3944954128440367,0.8532110091743119
197,463,0.19047619047619047,0.9047619047619048
198,551,0.3333333333333333,0.7777777777777778
199,830,0.0,0.6666666666666666
200,853,0.0,1.0
201,939,0.0,1.0
202,1200,0.25,1.0
203,1319,0.5,1.0
204,1329,0.5,1.0
205,1471,0.0,1.0
206,3634,1.0,0.0
207,4147,0.0,1.0
208,5913,0.0,1.0
209,-65,0.34375,0.8125
210,188,0.2358490566037736,0.9056603773584906
211,399,0.2857142857142857,0.8928571428571429
212,693,0.07142857142857142,0.9285714285714286
213,1052,0.0,1.0
214,1199,0.0,1.0
215,1445,0.0,1.0
216,1458,0.3333333333333333,1.0
217,1483,0.2,1.0
218,2643,0.0,1.0
219,2684,0.0,1.0
220,2807,0.0,1.0
221,2942,0.0,1.0
222,3612,1.0,0.0
223,3787,0.0,1.0
224,5142,1.0,1.0
225,8552,0.0,1.0
226,126,0.2987012987012987,0.8787878787878788
227,202,0.21428571428571427,0.9285714285714286
228,228,0.32098765432098764,0.9382716049382716
229,274,0.24561403508771928,0.8771929824561403
230,529,0.3333333333333333,0.8333333333333334
231,844,0.2,1.0
232,889,0.0,1.0
233,1730,0.0,1.0
234,1768,0.0,0.0
235,1988,0.0,1.0
236,2314,0.0,1.0
237,2717,1.0,1.0
238,3284,1.0,1.0
239,5258,0.0,0.0
240,6258,0.0,1.0
241,6521,0.0,1.0
242,-7,0.3384586884031123,0.8203038162282327
243,262,0.30985915492957744,0.9295774647887324
244,325,0.26666666666666666,1.0
245,406,0.1875,0.9375
246,624,0.16666666666666666,0.9166666666666666
247,998,1.0,0.0
248,1567,0.0,1.0
249,1694,0.25,1.0
250,1899,0.0,1.0
251,3636,0.0,1.0
252,3823,0.0,1.0
253,4625,0.0,1.0
254,-95,0.5,0.6666666666666666
255,-90,0.5294117647058824,0.7058823529411765
256,570,0.18181818181818182,1.0
257,691,0.0,1.0
258,734,0.2222222222222222,1.0
259,1415,0.0,1.0
260,1508,0.0,1.0
261,1766,0.0,1.0
262,1776,0.0,1.0
263,1908,0.0,1.0
264,1986,1.0,1.0
265,2308,0.0,1.0
266,2316,0.5,1.0
267,2998,1.0,1.0
268,4358,0.0,1.0
269,6070,0.0,1.0
270,6712,1.0,1.0
271,-107,0.5833333333333334,0.5833333333333334
272,-79,0.3103448275862069,0.7586206896551724
273,50,0.24037089871611983,0.9101283880171184
274,94,0.2642857142857143,0.9238095238095239
275,149,0.2578616352201258,0.9245283018867925
276,421,0.3,0.95
277,1038,0.25,0.75
278,1174,0.0,0.0
279,1816,0.0,1.0
280,1895,0.0,1.0
281,1949,0.5,1.0
282,2162,0.0,1.0
283,2477,0.0,0.0
284,2710,0.0,1.0
285,2772,0.0,1.0
286,3660,0.0,1.0
287,4273,1.0,1.0
288,6719,0.0,1.0
289,-221,0.0,0.0
290,-13,0.37342727730246605,0.8152994464016105
291,264,0.25757575757575757,0.9545454545454546
292,600,0.3333333333333333,0.6666666666666666
293,638,0.375,1.0
294,876,0.25,1.0
295,961,0.6666666666666666,1.0
296,1064,0.4,1.0
297,1110,0.4,0.6
298,1210,0.0,1.0
299,1632,0.5,1.0
300,1789,1.0,1.0
301,2119,1.0,1.0
302,2841,0.0,1.0
303,3849,0.0,1.0
304,4159,0.0,1.0
305,-116,0.2727272727272727,0.5454545454545454
306,229,0.2125,0.95
307,650,0.375,0.875
308,1119,0.0,1.0
309,1185,0.3333333333333333,1.0
310,1212,0.0,1.0
311,1376,0.0,1.0
312,1485,0.4,1.0
313,1559,0.3333333333333333,1.0
314,1930,0.0,1.0
315,1969,0.0,1.0
316,2153,0.5,1.0
317,2196,0.0,1.0
318,3687,0.0,1.0
319,3737,0.0,1.0
320,5658,0.0,1.0
321,110,0.24734982332155478,0.9293286219081273
322,190,0.3263157894736842,0.8842105263157894
323,275,0.47619047619047616,0.9285714285714286
324,343,0.22857142857142856,0.9428571428571428
325,439,0.38095238095238093,0.8095238095238095
326,629,0.14285714285714285,1.0
327,706,0.2857142857142857,0.5714285714285714
328,737,0.08333333333333333,1.0
329,902,0.6666666666666666,0.6666666666666666
330,1967,0.0,1.0
331,2215,0.0,1.0
332,2530,0.6666666666666666,0.6666666666666666
333,3054,1.0,1.0
334,3410,0.5,1.0
335,3796,1.0,1.0
336,5528,0.0,1.0
337,-26,0.4171656686626746,0.7944111776447106
338,57,0.24377224199288255,0.9110320284697508
339,136,0.2634146341463415,0.9024390243902439
340,513,0.5454545454545454,0.8181818181818182
341,828,0.2857142857142857,1.0
342,936,0.0,1.0
343,1213,0.0,1.0
344,1407,0.5,1.0
345,1607,0.0,1.0
346,2377,0.0,1.0
347,2982,1.0,1.0
348,-204,1.0,0.0
349,-172,0.2,0.8
350,-61,0.3698630136986301,0.684931506849315
351,144,0.3081761006289308,0.9308176100628931
352,388,0.13793103448275862,0.9655172413793104
353,412,0.2,0.9142857142857143
354,417,0.19047619047619047,0.9523809523809523
355,963,0.0,1.0
356,1571,0.0,1.0
357,1710,1.0,1.0
358,1911,0.0,1.0
359,2041,1.0,1.0
360,2526,0.0,1.0
361,2623,0.0,1.0
362,4229,0.0,1.0
363,4319,0.0,1.0
364,4802,0.0,1.0
365,5046,1.0,0.0
366,5104,0.0,1.0
367,9253,1.0,1.0
368,14019,1.0,1.0
369,909,0.75,0.75
370,1025,0.3333333333333333,1.0
371,1219,0.5,1.0
372,1240,0.0,1.0
373,1256,0.25,1.0
374,1283,0.0,0.6666666666666666
375,1549,0.5,1.0
376,1771,1.0,1.0
377,2212,0.0,1.0
378,2235,1.0,1.0
379,2939,0.0,1.0
380,3210,1.0,1.0
381,3405,0.0,1.0
382,4167,0.0,1.0
383,-41,0.38064516129032255,0.8193548387096774
384,32,0.25440806045340053,0.9074307304785895
385,43,0.26412049488972567,0.8972565895642819
386,420,0.2692307692307692,0.8461538461538461
387,555,0.38461538461538464,0.8461538461538461
388,696,0.45454545454545453,1.0
389,752,0.2222222222222222,0.8888888888888888
390,1051,0.5,0.5
391,1073,0.5,0.5
392,1089,0.0,1.0
393,1108,0.5,0.75
394,1128,0.0,1.0
395,1134,0.3333333333333333,1.0
396,2077,0.0,1.0
397,2112,1.0,1.0
398,2667,0.0,1.0
399,3863,0.0,1.0
400,7271,0.0,1.0
401,-391,0.0,0.0
402,84,0.2730560578661845,0.891500904159132
403,378,0.3125,0.84375
404,1233,0.5,1.0
405,2012,0.0,1.0
406,2821,0.0,1.0
407,2995,0.0,0.0
408,4487,1.0,1.0
409,5305,0.0,1.0
410,5891,0.0,1.0
411,-154,0.4,1.0
412,212,0.23076923076923078,0.9230769230769231
413,766,0.42857142857142855,0.7142857142857143
414,779,0.0,1.0
415,970,0.0,1.0
416,1362,0.0,1.0
417,3067,1.0,1.0
418,3828,0.0,1.0
419,4128,0.0,1.0
420,7689,1.0,1.0
421,-108,0.5,0.8333333333333334
422,31,0.26717557251908397,0.904156064461408
423,376,0.19230769230769232,0.9230769230769231
424,516,0.3125,1.0
425,662,0.1,1.0
426,958,0.0,1.0
427,1361,0.0,1.0
428,1434,0.3333333333333333,1.0
429,1722,0.0,1.0
430,1811,1.0,1.0
431,1991,0.0,1.0
432,2894,1.0,1.0
433,4069,0.0,1.0
434,-111,0.3,0.5
435,119,0.24253731343283583,0.8992537313432836
436,395,0.16,0.88
437,768,0.25,1.0
438,974,0.3333333333333333,0.6666666666666666
439,2130,1.0,1.0
440,2137,0.0,1.0
441,3731,0.0,1.0
442,4831,0.0,1.0
443,5221,0.0,1.0
444,5505,0.0,1.0
445,7842,0.0,1.0
446,-145,0.6666666666666666,0.6666666666666666
447,326,0.2926829268292683,0.9024390243902439
448,386,0.3157894736842105,0.8157894736842105
449,450,0.2857142857142857,0.8571428571428571
450,595,0.3,1.0
451,596,0.3076923076923077,0.9230769230769231
452,894,0.0,1.0
453,1069,0.0,1.0
454,1444,0.5,0.75
455,1513,0.0,1.0
456,2923,0.0,1.0
457,4860,1.0,1.0
458,6637,0.0,1.0
459,-337,1.0,1.0
460,-50,0.4806201550387597,0.751937984496124
461,39,0.2693156732891832,0.9050772626931567
462,98,0.2949061662198391,0.9168900804289544
463,187,0.2803738317757009,0.9252336448598131
464,496,0.23529411764705882,0.9411764705882353
465,561,0.17647058823529413,0.8235294117647058
466,845,0.0,1.0
467,1297,0.0,1.0
468,1733,0.0,1.0
469,1918,0.3333333333333333,1.0
470,3974,0.0,1.0
471,4296,0.0,1.0
472,-168,1.0,1.0
473,201,0.20833333333333334,0.9479166666666666
474,232,0.15,0.9625
475,402,0.2857142857142857,0.9285714285714286
476,990,0.0,1.0
477,1141,0.0,1.0
478,1252,0.3333333333333333,1.0
479,1975,0.0,1.0
480,2022,0.0,1.0
481,2185,0.0,1.0
482,773,0.5555555555555556,0.8888888888888888
483,962,0.2,1.0
484,966,0.0,1.0
485,1269,0.0,1.0
486,1282,0.3333333333333333,1.0
487,1612,0.5,1.0
488,1624,0.0,1.0
489,1639,0.0,1.0
490,3246,0.0,1.0
491,5757,0.0,1.0
492,203,0.21052631578947367,0.8526315789473684
493,700,0.14285714285714285,0.7142857142857143
494,1482,0.0,0.6666666666666666
495,1850,0.0,1.0
496,1891,0.0,1.0
497,2348,0.0,1.0
498,2527,0.0,1.0
499,2922,0.0,1.0
500,3110,0.0,1.0
501,3114,0.0,1.0
502,3575,1.0,1.0
503,11223,0.0,1.0
504,-158,0.0,0.6666666666666666
505,116,0.2426470588235294,0.9301470588235294
506,145,0.27860696517412936,0.9054726368159204
507,488,0.19047619047619047,0.8571428571428571
508,1530,0.0,1.0
509,1942,0.0,1.0
510,2168,0.0,1.0
511,2247,0.0,1.0
512,3183,0.0,1.0
513,5070,1.0,1.0
514,6349,0.0,1.0
515,-330,0.5,1.0
516,-295,1.0,0.0
517,-246,1.0,0.0
518,-235,0.0,1.0
519,-98,0.5,0.7857142857142857
520,25,0.2642152466367713,0.9029596412556053
521,814,0.3,0.9
522,880,0.125,0.75
523,1099,1.0,1.0
524,1312,0.0,1.0
525,1472,0.25,1.0
526,1757,0.0,1.0
527,1893,0.0,1.0
528,2016,0.0,1.0
