,date,Positive,Negative
0,2017-08-11,0.27887323943661974,0.8901408450704226
1,2017-09-11,0.29605501266739054,0.8899746652189648
2,2017-01-06,0.2857460035523979,0.8696714031971581
3,2017-01-27,0.2969400688031867,0.879775484338222
4,2017-02-26,0.2944477259303012,0.8670998227997637
5,2017-09-28,0.32059389606818806,0.8919439098157822
6,2016-11-08,0.3129971539079034,0.8601766036634314
7,2016-12-19,0.3155724183437809,0.8378422962718575
8,2017-01-24,0.2950268817204301,0.8919690860215054
9,2017-06-29,0.3241349102058695,0.8994743758212878
10,2017-09-29,0.30877742946708464,0.8970741901776385
11,2017-02-16,0.30078563411896747,0.8959435626102292
12,2017-07-31,0.2789997684649224,0.8965038203287798
13,2017-08-14,0.2838063439065108,0.8825125208681135
14,2017-08-18,0.28003820439350524,0.8983763132760267
15,2017-10-23,0.2990139211136891,0.896461716937355
16,2017-12-02,0.3147830350576122,0.8658985045354254
17,2017-04-09,0.3151085141903172,0.8998330550918197
18,2017-12-25,0.3211159737417943,0.8818380743982495
19,2017-02-28,0.30193148688046645,0.8848396501457726
20,2017-03-28,0.2573492775286497,0.8871449925261584
21,2017-09-21,0.302297165200391,0.8797653958944281
22,2018-01-23,0.2996859578286227,0.8802153432032301
23,2017-08-10,0.28530323151837095,0.8860115095174856
24,2018-02-26,0.3069013248961835,0.8787818864939687
25,2017-06-30,0.3051739926739927,0.8967490842490843
26,2017-08-19,0.28757951121526615,0.875460328088383
27,2017-12-08,0.3082096933728981,0.8824925816023739
28,2017-01-30,0.30818720827551405,0.8870947394979185
29,2017-07-06,0.3301282051282051,0.8843482905982906
30,2017-05-11,0.31116820311319326,0.9173341393380686
31,2016-12-12,0.3064061950017599,0.8727560718057022
32,2017-02-10,0.2903795233892321,0.881729920564872
33,2017-04-25,0.3248149032720325,0.8889419632194889
34,2018-01-11,0.3225868355402034,0.8875455766647476
35,2016-12-13,0.2960403436682854,0.8757937990287635
36,2017-10-24,0.3234880450070324,0.8813877168307548
37,2017-03-19,0.2982982982982983,0.8695362028695363
38,2017-05-26,0.32265084075173095,0.8838773491592483
39,2018-01-08,0.31137855579868706,0.9019693654266958
40,2018-01-18,0.3315062486296865,0.8780969085726814
41,2018-02-22,0.28453549580310145,0.8767961303172571
42,2017-01-04,0.2803030303030303,0.8269412878787878
43,2017-11-06,0.3000925497454882,0.9035168903285516
44,2017-11-26,0.33234797297297297,0.8817567567567568
45,2018-02-11,0.32438284971849285,0.8653096578605457
46,2017-06-28,0.3307622504537205,0.8942831215970962
47,2017-09-14,0.30891833810888253,0.8932664756446992
48,2017-10-09,0.3339610797237916,0.8967357187696171
49,2018-01-14,0.3046471600688468,0.9005163511187607
50,2017-04-03,0.2661443494776828,0.8755935422602089
51,2017-06-14,0.2927043142756927,0.8921431076815153
52,2017-12-04,0.33112848266185607,0.876528362397274
53,2018-01-05,0.3166158893836419,0.9022732599015701
54,2018-01-13,0.30730478589420657,0.8970403022670025
55,2018-02-01,0.296497715901675,0.8868827496193169
56,2018-02-04,0.30791681867931414,0.8675665815395841
57,2017-04-29,0.32519280205655526,0.8903170522707797
58,2017-08-08,0.27433843165816946,0.8926924010682205
59,2017-08-22,0.29806786050895384,0.8774740810556079
60,2017-11-16,0.277465015280682,0.9137847836577128
61,2017-12-03,0.3113994439295644,0.8776645041705282
62,2017-02-07,0.2741157556270096,0.8729903536977492
63,2018-01-16,0.3147982062780269,0.8955156950672646
64,2017-10-27,0.3152635523357482,0.9005745690731951
65,2018-02-23,0.29548962442119703,0.8833819241982507
66,2017-01-10,0.3093499554764025,0.8993766696349065
67,2017-03-17,0.29790310918293567,0.8896119546878766
68,2017-10-05,0.31311351623458344,0.8937830354895545
69,2017-10-08,0.28893203883495144,0.9001941747572816
70,2017-05-10,0.33140585471629924,0.9024213950126491
71,2016-11-14,0.2868829728230727,0.8682750970604548
72,2017-01-21,0.2976033213813927,0.8996036988110965
73,2017-05-09,0.30337078651685395,0.9010940272028386
74,2017-07-03,0.33519388954171564,0.8883666274970623
75,2017-12-19,0.32491877030742317,0.8642839290177455
76,2017-04-07,0.28187919463087246,0.882875081186404
77,2017-07-30,0.30282345640707414,0.8799255352156377
78,2016-12-15,0.30446194225721784,0.8691413573303337
79,2017-11-12,0.31866870696250954,0.8791124713083397
80,2017-12-31,0.3159891598915989,0.8780487804878049
81,2016-11-24,0.30037546933667086,0.8648310387984981
82,2017-06-08,0.26810889645114244,0.934005833738454
83,2017-08-04,0.29423123340574464,0.8966932174752594
84,2018-01-12,0.3234335385729808,0.9040202825063383
85,2016-11-25,0.30951810117477824,0.8539918484775834
86,2016-11-30,0.2840909090909091,0.8545839753466872
87,2017-01-05,0.2858831875147789,0.8557578623788129
88,2017-06-01,0.3295715378729916,0.9028309104820199
89,2017-08-20,0.2707317073170732,0.8723577235772357
90,2017-04-02,0.2883184523809524,0.8761160714285714
91,2017-10-14,0.3184257602862254,0.8886404293381037
92,2018-02-27,0.30899937067337946,0.8802181665617789
93,2017-06-09,0.3007019540884083,0.9136786188579017
94,2018-01-20,0.3027355623100304,0.8458966565349544
95,2018-01-25,0.31311787072243347,0.9003802281368821
96,2016-11-19,0.29738639039321874,0.8782670120084766
97,2016-12-20,0.2980320551836072,0.8557516737674985
98,2016-12-21,0.2953479280688038,0.8582877247849883
99,2017-04-11,0.29386265115217886,0.8977869039470682
100,2017-04-12,0.34244031830238725,0.9005305039787799
101,2017-01-13,0.2940483205657042,0.8919662148890198
102,2017-10-18,0.3079594017094017,0.9166666666666666
